{
    {0, 47},
    {1, 46},
    {2, 48},
    {4, 49},
    {4, 52},
    {7, 54},
    {8, 61},
    {10, 64},
    {10, 66},
    {12, 68},
    {15, 68},
    {19, 65},
    {20, 63},
    {22, 62},
    {23, 60},
    {25, 59},
    {28, 51},
    {29, 50},
    {33, 46},
    {35, 42},
    {36, 38},
    {38, 37},
    {40, 33},
    {41, 32},
    {43, 32},
    {46, 29},
    {47, 27},
    {49, 25},
    {51, 17},
    {51, 12},
    {52, 9},
    {53, 5},
    {55, 4},
    {56, 2},
    {57, 0},
    {59, 0},
    {60, 2},
    {61, 2},
    {62, 4},
    {64, 4},
    {64, 5},
    {66, 6},
    {67, 10},
    {70, 12},
    {73, 19},
    {75, 20},
    {76, 21},
    {77, 23},
    {79, 25},
    {79, 26},
    {81, 28},
    {83, 28},
    {83, 34},
    {84, 38},
    {85, 40},
    {86, 40},
    {89, 44},
    {90, 49},
    {93, 51},
    {93, 57},
    {95, 61},
    {95, 64},
    {96, 67},
    {98, 67},
    {100, 70},
    {104, 75},
    {120, 75},
    {122, 70},
    {124, 67},
    {124, 64},
    {126, 63},
    {126, 60},
    {128, 58},
    {130, 56},
    {132, 56},
    {134, 54},
    {136, 54},
    {137, 56},
    {140, 62},
    {140, 64},
    {143, 66},
    {144, 68},
    {145, 72},
    {148, 74},
    {152, 74},
    {156, 74},
    {159, 75},
    {168, 75},
    {170, 67},
    {170, 63},
    {172, 63},
    {173, 60},
    {175, 58},
    {176, 54},
    {178, 53},
    {180, 52},
    {182, 45},
    {184, 44},
    {186, 46},
    {190, 46},
    {191, 44},
    {192, 40},
    {194, 36},
    {196, 35},
    {196, 34},
    {199, 30},
    {202, 30},
    {202, 32},
    {204, 32},
    {205, 34},
    {206, 34},
    {206, 38},
    {208, 44},
    {208, 46},
    {208, 49},
    {212, 51},
    {212, 55},
    {215, 58},
    {218, 58},
    {222, 53},
    {226, 49},
    {229, 45},
    {230, 44},
    {232, 43},
    {234, 40},
    {236, 40},
    {237, 38},
    {240, 38},
    {241, 39},
    {244, 40},
    {244, 42},
    {245, 44},
    {246, 46},
    {248, 48},
    {248, 49},
    {249, 51},
    {252, 51},
    {253, 47},
    {254, 46},
    {256, 47},
}
